District,Lat,Lon,Counts,SPI6_201609,SPI6_201703,nls_sqkm
Kiphire,25.869,94.786,2,0.35611516,-0.1964922,0.090771787
Kishanganj,26.102,87.955,1,2.0180387,0.9380126,1.868318781
Kishtwar,33.304,75.781,33,0.612125,0.4625774,0.0793484
Kodagu,12.424,75.738,2,-2.2564712,-2.7216415,1.88212166
Kohima,25.658,94.105,14,0.7102487,-0.29393265,1.350207318
Kokrajhar,26.407,90.25,29,0.5242184,-0.1814518,1.79618947
Kolar,13.137,78.129,1,-0.80987096,-1.9273579,11.88925522
Kolhapur,16.706,74.221,11,0.32545874,-1.5639864,9.79967905
Kolkata,22.573,88.375,134,0.07313757,-0.37502608,63.18639988
Kollam,8.914,76.622,22,-1.2540853,-2.2543712,13.49079424
Kondagaon,19.398,81.55,4,0.58039457,-0.36656773,0.258373397
Koraput,18.779,82.905,11,0.8011042,-0.7106602,1.33225161
Korba,22.346,82.696,1,0.5943417,-0.64473504,5.069339191
Kota,25.184,75.852,15,2.044785,1.2212529,7.664674201
Kottayam,9.618,76.567,18,-1.2922506,-2.2534118,11.64883535
Kozhikode,11.395,75.778,45,-1.7587892,-2.866272,10.66428596
Krishna,16.493,80.683,46,0.40532646,-2.13325,11.37838148
Krishnagiri,12.543,78.161,33,-1.0206019,-2.0581546,8.014868602
Kulgam,33.668,75.029,87,0.41793045,0.2685844,0.662655605
Kullu,31.874,77.217,13,0.6290353,0.20569128,1.211055087
Kupwara,34.481,74.203,102,-0.059938617,-0.2529163,0.367468152
Kurnool,15.731,78.028,23,0.05499974,-2.8208148,5.000204855
Kurukshetra,29.988,76.883,22,0.669505,0.37489957,14.91875329
Kushinagar,26.822,83.934,4,0.9134402,0.2268683,2.480631105
Lakhimpur,27.218,94.102,25,-0.35841566,-0.04265752,0.678914922
Lakhisarai,25.185,86.154,9,1.6217752,0.14279434,0.988252984
Latehar,23.778,84.479,16,1.8692349,-0.02546918,0.436581702
Latur,18.397,76.568,1,1.1310716,-0.5194989,6.298770635
Lohardaga,23.441,84.684,4,1.4282483,-0.23735105,1.369876706
Longding,26.862,95.304,6,-0.02971108,0.41791764,0
Longleng,26.49,94.816,1,0.019131253,0.21263693,0.114496023
Lucknow,26.839,80.924,247,0.3783262,-0.8219577,17.41229244
Ludhiana,30.885,75.869,247,0.99899846,0.30978575,16.78264089
Madhepura,25.921,86.793,4,1.4193449,0.20443639,3.047241484
Madhubani,26.401,86.12,9,1.0751531,0.34542084,2.922014693
Madurai,9.941,78.108,59,-0.75538355,-1.9929479,12.47114925
Mahendragarh,28.202,76.155,18,0.63136816,-0.6762101,12.50547114
Mahoba,25.29,79.875,2,1.4479349,-0.5064073,1.927626125
Mainpuri,27.233,79.021,11,0.19917631,-0.31865665,6.95087653
Malappuram,11.043,76.02,17,-1.3835664,-2.591503,8.893074318
Malkangiri,18.271,81.96,28,0.53232586,-1.355295,0.54738685
Mandi,31.664,76.936,37,0.63317245,0.50151664,3.600288108
Mandla,22.599,80.371,2,0.7073714,-1.4361349,1.021590761
Mandsaur,24.111,75.177,10,2.0504892,1.8504897,2.235645074
Mandya,12.539,76.879,35,-1.2775967,-2.538601,9.541710002
Mansa,29.958,75.426,44,0.68542534,-0.8712787,11.00941564
Mathura,27.534,77.672,14,1.2716866,-0.083682194,9.82928205
Mau,25.999,83.552,5,0.9834332,-0.6491143,4.188220175
Mayurbhanj,21.99,86.635,6,0.38669857,-0.46360338,0.738175912
Medak,17.723,78.171,6,1.0113705,-1.3633639,11.77953167
Meerut,28.983,77.735,46,0.31615043,-0.36502776,10.37263947
Mewat,28.099,76.994,4,1.0171154,-0.31291336,11.56904024
Mirzapur,25.139,82.571,5,2.0019753,-0.03437021,2.097006637
Moga,30.78,75.182,39,0.77012676,-0.1495207,11.3966661
Mokokchung,26.325,94.518,3,0.1840596,0.11988879,0.502041549
Mon,26.809,95.055,2,-0.02095613,0.33137003,0.105378856
Moradabad,28.853,78.792,13,0.7632772,-0.5680673,6.429361619
Morbi,22.801,70.902,6,-0.41429877,1.6894559,7.007400189
Morena,26.499,77.995,2,0.6464336,0.42266226,2.732555692
Morigaon,26.225,92.309,13,-1.2037498,-0.51448786,1.645785528
Muktsar,30.288,74.559,54,0.36909294,-0.7324921,12.51083125
Mumbai City,19.047,72.866,76,0.4391671,-0.1598265,65.3694132
Mumbai Suburban,19.144,72.877,21,0.45037907,0.212631,60.19070917
Munger,25.374,86.474,3,1.320272,0.101031125,2.022111498
Murshidabad,24.165,88.282,4,-0.026379125,-1.3248649,6.434177514
Muzaffarnagar,29.453,77.683,32,0.29539227,-0.10303293,7.57987529
Muzaffarpur,26.114,85.377,13,0.9487439,0.458564,4.887122969
Nadia,23.301,88.546,8,0.58925563,-0.5111078,9.36980577
Nagaon,26.309,92.743,15,-0.044747245,-0.3174496,2.83471519
Nagaur,27.212,73.945,6,1.2812148,1.4180812,4.582144479
Nagpur,21.145,79.08,22,0.10181576,-0.4827786,8.15132029
Nainital,29.293,79.453,17,0.8433688,-0.93071496,4.276559521
Nalanda,25.135,85.435,6,1.3250297,0.45481658,4.934050205
